zipcode,city,homeType,homeStatus,livingArea,bathrooms,bedrooms,price,zestimate
77065,Houston,SINGLE_FAMILY,FOR_SALE,2982.0,4.0,4.0,370000.0,362400.0
77090,Houston,SINGLE_FAMILY,FOR_SALE,2200.0,3.0,5.0,265000.0,260000.0
77084,Houston,SINGLE_FAMILY,FOR_SALE,2005.0,2.0,4.0,299500.0,293100.0
77084,Houston,MULTI_FAMILY,FOR_SALE,1623.0,2.0,4.0,248000.0,243100.0
77061,Houston,SINGLE_FAMILY,FOR_SALE,1802.0,2.0,2.0,349900.0,340600.0
77068,Houston,SINGLE_FAMILY,FOR_SALE,3892.0,5.0,5.0,375900.0,372400.0
77022,Houston,SINGLE_FAMILY,FOR_SALE,1616.0,4.0,3.0,325000.0,
77069,Houston,SINGLE_FAMILY,FOR_SALE,3605.0,4.0,4.0,468000.0,459700.0
77336,Huffman,SINGLE_FAMILY,FOR_SALE,1647.0,3.0,3.0,269990.0,270000.0
77095,Houston,SINGLE_FAMILY,FOR_SALE,2522.0,3.0,4.0,382000.0,380500.0
77009,Houston,CONDO,FOR_SALE,764.0,1.0,2.0,210000.0,202000.0
77077,Houston,SINGLE_FAMILY,FOR_SALE,3799.0,4.0,4.0,985000.0,942800.0
77074,Houston,SINGLE_FAMILY,FOR_SALE,2973.0,2.0,3.0,210000.0,204100.0
77021,Houston,SINGLE_FAMILY,FOR_SALE,1454.0,3.0,3.0,230000.0,229400.0
77077,Houston,TOWNHOUSE,FOR_SALE,2283.0,3.0,3.0,379990.0,370200.0
77345,Kingwood,SINGLE_FAMILY,FOR_SALE,2466.0,3.0,4.0,349900.0,
77089,Houston,SINGLE_FAMILY,FOR_SALE,1399.0,2.0,3.0,245000.0,240400.0
77090,Houston,SINGLE_FAMILY,FOR_SALE,3895.0,4.0,5.0,485000.0,472200.0
77050,Houston,SINGLE_FAMILY,FOR_SALE,2320.0,4.0,7.0,180000.0,177600.0
77068,Houston,SINGLE_FAMILY,FOR_SALE,5073.0,5.0,6.0,570000.0,552300.0
77084,Houston,SINGLE_FAMILY,FOR_SALE,3118.0,3.0,4.0,460000.0,451500.0
77032,Houston,SINGLE_FAMILY,FOR_SALE,1239.0,3.0,3.0,190000.0,186500.0
77051,Houston,SINGLE_FAMILY,FOR_SALE,1383.0,2.0,4.0,199900.0,190900.0
77073,Houston,SINGLE_FAMILY,FOR_SALE,3560.0,4.0,5.0,280000.0,
77345,Kingwood,SINGLE_FAMILY,FOR_SALE,3363.0,4.0,5.0,584000.0,569500.0
77077,Houston,SINGLE_FAMILY,FOR_SALE,2727.0,3.0,4.0,590000.0,
77062,Houston,SINGLE_FAMILY,FOR_SALE,2304.0,3.0,4.0,339900.0,348200.0
77015,Houston,TOWNHOUSE,FOR_SALE,623.0,1.0,1.0,67500.0,62000.0
77035,Houston,TOWNHOUSE,FOR_SALE,1320.0,2.0,3.0,140000.0,
77042,Houston,SINGLE_FAMILY,FOR_SALE,23526.0,14.0,7.0,10500000.0,
77062,Houston,SINGLE_FAMILY,FOR_SALE,2457.0,3.0,4.0,385000.0,379000.0
77076,Houston,SINGLE_FAMILY,FOR_SALE,1498.0,2.0,3.0,275000.0,271800.0
77088,Houston,SINGLE_FAMILY,FOR_SALE,672.0,1.0,2.0,134000.0,
77064,Houston,SINGLE_FAMILY,FOR_SALE,2198.0,3.0,4.0,349900.0,343800.0
77095,Houston,SINGLE_FAMILY,FOR_SALE,1602.0,2.0,3.0,265700.0,262200.0
77016,Houston,SINGLE_FAMILY,FOR_SALE,1826.0,2.0,3.0,234490.0,229800.0
77008,Houston,SINGLE_FAMILY,FOR_SALE,2283.0,4.0,3.0,595000.0,583300.0
77090,Houston,SINGLE_FAMILY,FOR_SALE,3562.0,4.0,4.0,295000.0,
77062,Houston,SINGLE_FAMILY,FOR_SALE,2000.0,3.0,4.0,305000.0,301100.0
77099,Houston,SINGLE_FAMILY,FOR_SALE,1872.0,3.0,5.0,229999.0,224800.0
77091,Houston,SINGLE_FAMILY,FOR_SALE,2151.0,4.0,3.0,419990.0,418100.0
